Date,Week,Day,Total Car
1/1/2020,1,Wed,122
1/2/2020,1,Thur,114
1/3/2020,1,Fri,127
1/4/2020,1,Sat,95
1/5/2020,2,Sun,98
1/6/2020,2,Mon,111
1/7/2020,2,Tues,114
1/8/2020,2,Wed,112
1/9/2020,2,Thur,117
1/10/2020,2,Fri,114
1/11/2020,2,Sat,94
1/12/2020,3,Sun,92
1/13/2020,3,Mon,111
1/14/2020,3,Tues,114
1/15/2020,3,Wed,112
1/16/2020,3,Thur,112
1/17/2020,3,Fri,115
1/18/2020,3,Sat,97
1/19/2020,4,Sun,99
1/20/2020,4,Mon,114
1/21/2020,4,Tues,113
1/22/2020,4,Wed,122
1/23/2020,4,Thur,113
1/24/2020,4,Fri,112
1/25/2020,4,Sat,93
1/26/2020,5,Sun,96
1/27/2020,5,Mon,111
1/28/2020,5,Tues,115
1/29/2020,5,Wed,112
1/30/2020,5,Thur,115
1/31/2020,5,Fri,120
,,,
,,,
